from,to,length,speed,numLanes
dublin,monaghan,1242.0326082675929,10,1
dublin,carrick,1419.194137530169,10,1
dublin,cavan,1032.8300925128005,10,1
antrim,longford,1497.5613509970135,10,1
antrim,limerick,2964.068993798896,10,1
antrim,omagh,688.0116278087166,10,1
craigavon,tralee,3431.147912871143,10,1
craigavon,cork,3430.426358340899,10,1
craigavon,kilkenny,2251.334048958528,10,1
carlow,antrim,2377.0675211276603,10,1
carlow,carrick,1623.3625596273926,10,1
carlow,derry,2748.690779262011,10,1
cavan,ennis,1865.42247225662,10,1
cavan,omagh,734.8373969797672,10,1
ennis,naas,1658.5029394004703,10,1
cork,limerick,959.5566684672667,10,1
cork,athlone,2009.9756217427116,10,1
derry,navan,1745.8593872359825,10,1
derry,monaghan,948.0854391878403,10,1
letterkenny,omagh,517.4176262942731,10,1
letterkenny,galway,2242.732708104111,10,1
letterkenny,athlone,1847.1938176596414,10,1
letterkenny,craigavon,1031.3738410489186,10,1
letterkenny,belfast,1235.3218204176594,10,1
belfast,wexford,2811.8010242547393,10,1
enniskillen,ennis,2096.5116264881526,10,1
enniskillen,sligo,588.6229693105767,10,1
galway,athlone,815.2453618389987,10,1
tralee,cork,948.9051585906781,10,1
naas,athlone,897.3187839335584,10,1
naas,craigavon,1541.3292964191655,10,1
naas,roscommon,1203.6760361492622,10,1
naas,castlebar,1967.7581152164003,10,1
kilkenny,omagh,2405.201031099064,10,1
kilkenny,waterford,532.124045688597,10,1
portlaoise,cavan,1269.0003940109711,10,1
carrick,cavan,561.1434754142651,10,1
carrick,navan,1032.4727599312246,10,1
carrick,limerick,1668.0938223013716,10,1
carrick,belfast,1577.7277965479343,10,1
limerick,tralee,881.4000226911728,10,1
longford,belfast,1548.0261625696123,10,1
longford,portlaoise,1010.7353758526511,10,1
dundalk,longford,943.7669203781196,10,1
dundalk,letterkenny,1480.2624767249895,10,1
castlebar,carrick,836.9593777478092,10,1
navan,monaghan,799.1126328622267,10,1
monaghan,derry,948.0854391878403,10,2
monaghan,galway,1830.0781404082177,10,1
monaghan,bray,1435.0961640252544,10,1
monaghan,dundalk,525.5292570352292,10,1
tullamore,ennis,1225.3411769788854,10,1
tullamore,monaghan,1259.262085508811,10,1
tullamore,enniskillen,1343.7983479674322,10,1
roscommon,dublin,1339.9466407286523,10,1
roscommon,athlone,338.11980125393427,10,1
roscommon,monaghan,1078.3580110519883,10,1
roscommon,waterford,1943.9971707798343,10,1
roscommon,derry,1748.785292710343,10,1
sligo,derry,1181.4609599982557,10,1
sligo,clonmel,2400.582637611128,10,1
sligo,tullamore,1423.0801101835414,10,1
clonmel,carlow,733.0047748821286,10,1
clonmel,enniskillen,2452.9989808395762,10,1
omagh,carlow,2232.0058243651606,10,1
omagh,antrim,688.0116278087166,10,1
waterford,kilkenny,532.124045688597,10,1
waterford,roscommon,1943.9971707798343,10,1
waterford,tullamore,1303.7377036812275,10,1
athlone,carlow,1029.49793588914,10,1
wexford,antrim,2928.535470162518,10,1
wexford,longford,1961.032891106113,10,1
wexford,tralee,2231.260854315335,10,1
bray,athlone,1227.23265927859,10,1
bray,tralee,2713.584529731845,10,1
bray,castlebar,2285.0691455621204,10,1
