from,to,length,speed,numLanes
dublin,waterford,1466.0873098148008,10,1
dublin,kilkenny,1069.62423308375,10,1
dublin,roscommon,1339.9466407286523,10,1
dublin,tralee,2676.42392008441,10,1
dublin,monaghan,1242.0326082675929,10,1
dublin,ennis,1940.6918869310502,10,1
dublin,antrim,1672.3875149019739,10,2
dublin,cavan,1032.8300925128005,10,1
antrim,monaghan,694.5077393377269,10,1
antrim,clonmel,3016.693885696724,10,1
antrim,navan,1303.4354606193588,10,1
antrim,tralee,3774.096580640193,10,1
antrim,carrick,1473.1137091209218,10,1
antrim,letterkenny,992.0126007264222,10,1
antrim,bray,1834.9888283038674,10,1
antrim,galway,2519.866861562333,10,1
antrim,ennis,2910.966334398253,10,1
antrim,cork,3786.418096301569,10,1
antrim,athlone,1842.738179991938,10,1
craigavon,limerick,2612.8976252429024,10,1
craigavon,letterkenny,1031.3738410489186,10,1
craigavon,sligo,1290.2294369607291,10,1
craigavon,waterford,2739.437350990163,10,1
craigavon,cork,3430.426358340899,10,1
craigavon,cavan,705.0709184188496,10,1
carlow,dundalk,1527.0415842405864,10,1
carlow,limerick,1155.560902765406,10,1
carlow,tralee,1997.2042960097997,10,1
carlow,bray,761.5418570242873,10,1
carlow,navan,1073.9767222803296,10,1
carlow,cork,1567.8698925612418,10,1
carlow,letterkenny,2714.0598740632086,10,1
carlow,sligo,2072.240574836812,10,1
carlow,castlebar,2049.9329257319614,10,1
carlow,enniskillen,1963.6588298378108,10,1
carlow,galway,1534.0863730572669,10,1
carlow,dublin,800.7558928912107,10,1
cavan,bray,1232.1047033430236,10,1
cavan,roscommon,756.000661375372,10,2
cavan,sligo,872.2138499244322,10,2
cavan,dundalk,560.0,10,1
cavan,castlebar,1397.1689232158008,10,1
cavan,clonmel,2042.15572373901,10,1
cavan,limerick,1918.9916623060144,10,1
cavan,tralee,2726.8958542635983,10,1
ennis,letterkenny,2740.429893283169,10,2
ennis,waterford,1539.519730305526,10,1
ennis,wexford,1865.080427220231,10,1
ennis,craigavon,2570.4116401852834,10,1
ennis,kilkenny,1231.4369655000617,10,2
ennis,derry,2904.2703042244534,10,1
ennis,bray,2017.964568569032,10,1
ennis,longford,1413.4089995468403,10,1
ennis,carlow,1406.2805552236011,10,1
ennis,galway,535.0756955796068,10,1
cork,sligo,2956.6293308428094,10,2
cork,enniskillen,3128.1694327513655,10,2
cork,athlone,2009.9756217427116,10,3
cork,tralee,948.9051585906781,10,1
cork,ennis,1251.6632933820501,10,1
derry,tullamore,2156.1022703016665,10,1
derry,athlone,1952.5432133502193,10,1
derry,navan,1745.8593872359825,10,1
derry,limerick,3049.5461957478196,10,1
derry,castlebar,1943.6939059430115,10,1
derry,waterford,3446.102871360633,10,1
letterkenny,wexford,3363.2545250099643,10,1
letterkenny,ennis,2740.429893283169,10,1
letterkenny,carrick,1244.598328779209,10,2
letterkenny,craigavon,1031.3738410489186,10,1
letterkenny,dundalk,1480.2624767249895,10,1
letterkenny,carlow,2714.0598740632086,10,2
letterkenny,belfast,1235.3218204176594,10,1
letterkenny,waterford,3397.664639130825,10,1
letterkenny,longford,1490.0271809601327,10,1
letterkenny,sligo,971.2878049270463,10,1
letterkenny,clonmel,3196.2379448345205,10,1
letterkenny,dublin,2215.5579432729805,10,1
belfast,tralee,3807.870796127411,10,1
belfast,enniskillen,1084.7363735027973,10,1
belfast,cavan,1092.6431256361795,10,1
belfast,ennis,2951.616506255513,10,1
belfast,dublin,1553.0051513114822,10,1
belfast,clonmel,2966.693277034213,10,1
belfast,craigavon,401.3776276774778,10,1
belfast,waterford,2997.61321721132,10,1
enniskillen,carlow,1963.6588298378108,10,1
enniskillen,craigavon,701.8753450577958,10,2
enniskillen,clonmel,2452.9989808395762,10,1
enniskillen,athlone,1118.8395774193903,10,1
enniskillen,monaghan,394.4172917101886,10,1
enniskillen,antrim,934.285823503707,10,1
enniskillen,limerick,2221.514123295191,10,1
enniskillen,roscommon,930.686305905486,10,1
enniskillen,bray,1716.0658495523999,10,1
enniskillen,castlebar,1309.0,10,1
enniskillen,longford,752.6725715741208,10,1
enniskillen,dublin,1517.1400726366699,10,1
galway,monaghan,1830.0781404082177,10,2
galway,athlone,815.2453618389987,10,1
galway,castlebar,725.4419342717927,10,1
galway,ennis,535.0756955796068,10,1
galway,roscommon,752.2300180131075,10,1
galway,dublin,1852.5595806882973,10,1
galway,naas,1619.5264740040527,10,1
galway,letterkenny,2242.732708104111,10,1
galway,wexford,2118.1314878921,10,1
tralee,craigavon,3431.147912871143,10,2
tralee,belfast,3807.870796127411,10,1
tralee,enniskillen,2958.5133090794097,10,1
tralee,castlebar,1982.826265712657,10,1
tralee,waterford,1816.5574584911978,10,1
tralee,bray,2713.584529731845,10,1
tralee,sligo,2620.7395902683656,10,1
tralee,ennis,865.3323061113574,10,1
tralee,cavan,2726.8958542635983,10,1
naas,craigavon,1541.3292964191655,10,1
naas,derry,2310.3562495857645,10,1
naas,longford,1009.3448370106224,10,2
naas,bray,362.32720019341633,10,1
naas,tralee,2374.310847382878,10,1
naas,belfast,1788.1118533246179,10,1
naas,cavan,1086.6926888499802,10,2
naas,cork,2059.0874192224087,10,1
naas,tullamore,506.9921103922624,10,1
kilkenny,antrim,2602.1191363963335,10,1
kilkenny,sligo,2156.8729679793382,10,2
kilkenny,dundalk,1763.9189323775624,10,1
kilkenny,letterkenny,2869.2160950336242,10,1
kilkenny,naas,774.3184099580741,10,1
kilkenny,longford,1398.7287085064065,10,1
kilkenny,limerick,941.0,10,1
kilkenny,roscommon,1421.253320136843,10,1
kilkenny,galway,1445.98789759804,10,1
kilkenny,waterford,532.124045688597,10,1
kilkenny,cavan,1673.0002988642889,10,1
portlaoise,dublin,782.5803473126578,10,1
portlaoise,carrick,1342.3859355639868,10,1
portlaoise,derry,2521.115824392049,10,2
portlaoise,enniskillen,1716.613526685608,10,1
portlaoise,wexford,967.4378533011824,10,1
portlaoise,cavan,1269.0003940109711,10,1
portlaoise,clonmel,809.0747802273903,10,1
portlaoise,monaghan,1606.0202364852069,10,1
portlaoise,roscommon,1076.0227692758178,10,1
portlaoise,craigavon,1857.8743229831236,10,1
portlaoise,naas,476.53016693594543,10,1
portlaoise,letterkenny,2468.5268886524204,10,1
portlaoise,tralee,1899.531784414254,10,1
portlaoise,carlow,292.9607482240582,10,1
carrick,cork,2599.669594390795,10,1
carrick,kilkenny,1717.8405048199324,10,1
carrick,limerick,1668.0938223013716,10,2
carrick,dublin,1419.194137530169,10,1
carrick,enniskillen,582.7538073663698,10,2
carrick,castlebar,836.9593777478092,10,1
carrick,letterkenny,1244.598328779209,10,1
limerick,sligo,2003.2877975967408,10,1
limerick,derry,3049.5461957478196,10,1
limerick,ennis,363.6289317422364,10,3
limerick,kilkenny,941.0,10,1
limerick,castlebar,1554.0740008120592,10,1
limerick,tralee,881.4000226911728,10,1
limerick,clonmel,728.0171701271887,10,1
longford,carlow,1284.4454056128661,10,1
longford,belfast,1548.0261625696123,10,2
longford,carrick,350.2370625733376,10,1
longford,monaghan,803.801592434352,10,1
longford,portlaoise,1010.7353758526511,10,2
longford,wexford,1961.032891106113,10,1
longford,cork,2378.1202660925287,10,1
longford,enniskillen,752.6725715741208,10,1
longford,galway,1054.552511731872,10,1
longford,derry,1585.799798209093,10,1
longford,waterford,1930.840749518199,10,1
dundalk,wexford,2069.0543733792983,10,1
dundalk,craigavon,538.4468404587402,10,1
dundalk,belfast,772.5988609880292,10,3
dundalk,tullamore,1117.161581867189,10,1
dundalk,naas,1022.438751221803,10,1
dundalk,derry,1402.4824419578308,10,1
castlebar,navan,1802.725991380831,10,1
castlebar,carrick,836.9593777478092,10,2
castlebar,galway,725.4419342717927,10,1
castlebar,carlow,2049.9329257319614,10,1
castlebar,cavan,1397.1689232158008,10,1
castlebar,roscommon,777.7634601856788,10,1
castlebar,naas,1967.7581152164003,10,1
navan,naas,581.0,10,2
navan,carlow,1073.9767222803296,10,1
navan,carrick,1032.4727599312246,10,1
navan,ennis,1889.2487925098694,10,1
navan,belfast,1230.0508119585954,10,1
navan,athlone,864.002314811714,10,1
navan,derry,1745.8593872359825,10,1
navan,cavan,587.2324922890422,10,1
navan,monaghan,799.1126328622267,10,1
navan,dundalk,457.5172127909506,10,1
monaghan,ennis,2217.0367610844887,10,1
monaghan,dundalk,525.5292570352292,10,2
monaghan,carlow,1814.6616764565233,10,1
monaghan,clonmel,2392.885496633719,10,1
tullamore,navan,687.4532711392098,10,1
tullamore,monaghan,1259.262085508811,10,1
tullamore,roscommon,739.5518913504312,10,1
tullamore,athlone,408.96454614061594,10,1
tullamore,sligo,1423.0801101835414,10,1
tullamore,limerick,1141.862075734193,10,1
tullamore,omagh,1636.122244821578,10,1
tullamore,craigavon,1540.397675926577,10,1
